log,idx,bs,N,C,H,nomask,distribution,runs,mean_us,best_us,std_us,err_us
gpumode/trimul_a100/logs/rank02_shiyegao_cuda_ext_leaderboard_20260506_222143.out,0,2,256,128,128,1,normal,100,704.604,686.080,25.275,2.527
gpumode/trimul_a100/logs/rank02_shiyegao_cuda_ext_leaderboard_20260506_222143.out,1,1,768,128,128,1,cauchy,3,3361.451,3358.720,3.128,1.806
gpumode/trimul_a100/logs/rank02_shiyegao_cuda_ext_leaderboard_20260506_222143.out,2,2,256,384,128,0,normal,4,1195.008,1192.960,1.870,0.935
gpumode/trimul_a100/logs/rank02_shiyegao_cuda_ext_leaderboard_20260506_222143.out,3,1,512,128,128,1,normal,100,1328.896,1317.888,23.371,2.337
gpumode/trimul_a100/logs/rank02_shiyegao_cuda_ext_leaderboard_20260506_222143.out,4,1,1024,128,128,1,cauchy,4,6128.896,6122.496,10.253,5.126
gpumode/trimul_a100/logs/rank02_shiyegao_cuda_ext_leaderboard_20260506_222143.out,5,1,768,384,128,0,normal,100,4715.858,4703.232,51.223,5.122
gpumode/trimul_a100/logs/rank02_shiyegao_cuda_ext_leaderboard_20260506_222143.out,6,1,1024,384,128,1,normal,3,8398.165,8394.752,5.051,2.916
gpumode/trimul_a100/logs/v23_cuda_ext_hidden_warp_ln_leaderboard_20260507_095432.out,0,2,256,128,128,1,normal,4,1104.384,1101.824,2.132,1.066
gpumode/trimul_a100/logs/v23_cuda_ext_hidden_warp_ln_leaderboard_20260507_095432.out,1,1,768,128,128,1,cauchy,23,6339.361,6307.840,29.791,6.212
gpumode/trimul_a100/logs/v23_cuda_ext_hidden_warp_ln_leaderboard_20260507_095432.out,2,2,256,384,128,0,normal,100,1798.666,1775.616,39.798,3.980
gpumode/trimul_a100/logs/v23_cuda_ext_hidden_warp_ln_leaderboard_20260507_095432.out,3,1,512,128,128,1,normal,29,2204.284,2183.168,11.757,2.183
gpumode/trimul_a100/logs/v23_cuda_ext_hidden_warp_ln_leaderboard_20260507_095432.out,4,1,1024,128,128,1,cauchy,19,11575.619,11508.736,50.031,11.478
gpumode/trimul_a100/logs/v23_cuda_ext_hidden_warp_ln_leaderboard_20260507_095432.out,5,1,768,384,128,0,normal,4,6957.056,6942.720,10.674,5.337
gpumode/trimul_a100/logs/v23_cuda_ext_hidden_warp_ln_leaderboard_20260507_095432.out,6,1,1024,384,128,1,normal,3,12463.104,12448.768,14.336,8.277
gpumode/trimul_a100/logs/v24_cuda_ext_nomask_gate_leaderboard_20260507_111050.out,0,2,256,128,128,1,normal,100,1052.989,1019.904,57.603,5.760
gpumode/trimul_a100/logs/v24_cuda_ext_nomask_gate_leaderboard_20260507_111050.out,1,1,768,128,128,1,cauchy,11,6260.736,6234.112,20.729,6.250
gpumode/trimul_a100/logs/v24_cuda_ext_nomask_gate_leaderboard_20260507_111050.out,2,2,256,384,128,0,normal,3,2159.616,2156.544,3.692,2.132
gpumode/trimul_a100/logs/v24_cuda_ext_nomask_gate_leaderboard_20260507_111050.out,3,1,512,128,128,1,normal,100,2216.294,2161.664,84.899,8.490
gpumode/trimul_a100/logs/v24_cuda_ext_nomask_gate_leaderboard_20260507_111050.out,4,1,1024,128,128,1,cauchy,3,11397.803,11375.616,19.275,11.129
gpumode/trimul_a100/logs/v24_cuda_ext_nomask_gate_leaderboard_20260507_111050.out,5,1,768,384,128,0,normal,3,6873.088,6866.944,6.715,3.877
gpumode/trimul_a100/logs/v24_cuda_ext_nomask_gate_leaderboard_20260507_111050.out,6,1,1024,384,128,1,normal,3,12311.552,12300.288,10.788,6.229
gpumode/trimul_a100/logs/v26_cuda_ext_hidden_tiled_leaderboard_20260507_115525.out,0,2,256,128,128,1,normal,3,841.045,840.704,0.591,0.341
gpumode/trimul_a100/logs/v26_cuda_ext_hidden_tiled_leaderboard_20260507_115525.out,1,1,768,128,128,1,cauchy,3,4220.587,4214.784,6.172,3.564
gpumode/trimul_a100/logs/v26_cuda_ext_hidden_tiled_leaderboard_20260507_115525.out,2,2,256,384,128,0,normal,100,1552.906,1521.664,63.304,6.330
gpumode/trimul_a100/logs/v26_cuda_ext_hidden_tiled_leaderboard_20260507_115525.out,3,1,512,128,128,1,normal,3,1579.691,1579.008,0.591,0.341
gpumode/trimul_a100/logs/v26_cuda_ext_hidden_tiled_leaderboard_20260507_115525.out,4,1,1024,128,128,1,cauchy,3,7707.648,7697.408,8.868,5.120
gpumode/trimul_a100/logs/v26_cuda_ext_hidden_tiled_leaderboard_20260507_115525.out,5,1,768,384,128,0,normal,3,5319.339,5314.560,6.583,3.801
gpumode/trimul_a100/logs/v26_cuda_ext_hidden_tiled_leaderboard_20260507_115525.out,6,1,1024,384,128,1,normal,3,9461.077,9456.640,5.255,3.034
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,0,2,256,128,128,1,normal,100,814.561,789.504,25.189,2.519
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,1,1,768,128,128,1,cauchy,3,4179.627,4174.848,4.617,2.666
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,2,2,256,384,128,0,normal,4,1872.128,1869.824,2.693,1.347
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,3,1,512,128,128,1,normal,100,1589.002,1565.696,27.671,2.767
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,4,1,1024,128,128,1,cauchy,20,7634.483,7613.440,34.122,7.630
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,5,1,768,384,128,0,normal,3,5309.099,5306.368,3.128,1.806
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,6,1,1024,384,128,1,normal,3,9372.672,9367.552,6.395,3.692
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,0,2,256,128,128,1,normal,3,905.216,904.192,1.024,0.591
